,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Segment,Drag Force,Rolling Force,Grade Force,Total Force(N),Motor Force ,Motor Power,Time (s),Energía consumida (Wh),,,,,,,
,48,291.08646,22.2486876,0,313.3351476,313.3351476,5042.640398,0.999997515,1.400729962,,,,,,,
,49,176.08934,22.2486876,0,198.3380276,198.3380276,2482.620892,12.8571109,8.866481148,,,,,,,
,50,324.327815,22.2486876,0,346.5765026,346.5765026,5887.475269,0.947366066,1.549331746,,,,,,,
,51,291.08646,22.2486876,44.4973752,357.8325228,357.8325228,5758.756236,0.999997515,1.599650534,,,,,,,
,52,259.641935,22.2486876,88.9947504,370.885373,370.885373,5637.220303,3.176462693,4.974005552,,,,,,,
,53,291.08646,22.2486876,0,313.3351476,313.3351476,5042.640398,0.999997515,1.400729962,,,,,,,
,54,324.327815,22.2486876,-133.4921256,213.084377,213.084377,3619.775116,1.894732133,1.905140063,,,,,,,
,55,324.327815,22.2486876,-88.9947504,257.5817522,257.5817522,4375.675167,0.947366066,1.151490603,,,,,,,
,56,259.641935,22.2486876,0,281.8906226,281.8906226,4284.557054,1.058820898,1.260160707,,,,,,,
,57,275.1395938,22.2486876,88.9947504,386.3830318,386.3830318,6045.503468,1.028568872,1.727282412,,,,,,,
,58,259.641935,22.2486876,0,281.8906226,281.8906226,4284.557054,8.470567182,10.08128566,,,,,,,
,59,229.99424,22.2486876,88.9947504,341.237678,341.237678,4881.50053,1.124997204,1.525465124,,,,,,,
,60,215.8442038,22.2486876,-44.4973752,193.5955162,193.5955162,2682.893126,1.161287436,0.865447244,,,,,,,
,61,229.99424,22.2486876,0,252.2429276,252.2429276,3608.405707,16.87495806,16.91435971,,,,,,,
,62,244.5934838,22.2486876,44.4973752,311.3395466,311.3395466,4592.980619,1.090906379,1.39180885,,,,,,,
,63,259.641935,22.2486876,177.9895008,459.8801234,459.8801234,6989.883552,1.058820898,2.055842994,,,,,,,
,64,275.1395938,22.2486876,0,297.3882814,297.3882814,4653.056005,2.057137744,2.658882537,,,,,,,
,65,259.641935,22.2486876,-133.4921256,148.398497,148.398497,2255.562179,3.176462693,1.990196976,,,,,,,
