,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Segment,Irradiance,Solar Power,Time,Solar energy,,,,,,,,
,,1,800,1182.588,15.83996063,5.203374267,,,,,,,,
,,2,800,1182.588,1.384611943,0.454840408,,,,,Área panel,A_panel,5.797,m²
,,3,800,1182.588,1.333330019,0.437994467,,,,,Eficiencia panel,η_panel,0.255,%
,,4,800,1182.588,3.85713327,1.267055422,,,,,,,,
,,5,800,1182.588,1.241376225,0.407787952,,,,,,,,
,,6,800,1182.588,1.241376225,0.407787952,,,,,,,,
,,7,800,1182.588,1.241376225,0.407787952,,,,,,,,
,,8,800,1182.588,1.199997017,0.39419502,,,,,,,,
,,9,800,1182.588,1.161287436,0.381479052,,,,,,,,
,,10,800,1182.588,1.199997017,0.39419502,,,,,,,,
,,11,800,1182.588,1.333330019,0.437994467,,,,,,,,
,,12,800,1182.588,2.769223886,0.909680816,,,,,,,,
,,13,800,1182.588,1.199997017,0.39419502,,,,,,,,
,,14,800,1182.588,1.124997204,0.369557831,,,,,,,,
,,15,800,1182.588,1.124997204,0.369557831,,,,,,,,
,,16,800,1182.588,2.117641795,0.695638271,,,,,,,,
,,17,800,1182.588,4.999987573,1.642479251,,,,,,,,
,,18,800,1182.588,1.058820898,0.347819135,,,,,,,,
,,19,800,1182.588,7.578928531,2.489652759,,,,,,,,
,,20,800,1182.588,0.999997515,0.32849585,,,,,,,,
,,21,800,1182.588,1.124997204,0.369557831,,,,,,,,
,,22,800,1182.588,1.124997204,0.369557831,,,,,,,,
,,23,800,1182.588,1.058820898,0.347819135,,,,,,,,
,,24,800,1182.588,1.999995029,0.6569917,,,,,,,,
,,25,800,1182.588,13.26312493,4.356892329,,,,,,,,
,,26,800,1182.588,11.57139981,3.801166267,,,,,,,,
,,27,800,1182.588,17.05258919,5.601718709,,,,,,,,
,,28,800,1182.588,12.8571109,4.223518074,,,,,,,,
,,29,800,1182.588,11.57139981,3.801166267,,,,,,,,
,,30,800,1182.588,11.24997204,3.695578315,,,,,,,,
,,31,800,1182.588,8.999977631,2.956462652,,,,,,,,
,,32,800,1182.588,13.26312493,4.356892329,,,,,,,,
,,33,800,1182.588,8.999977631,2.956462652,,,,,,,,
,,34,800,1182.588,7.714266541,2.534110844,,,,,,,,
,,35,800,1182.588,6.999982602,2.299470951,,,,,,,,
,,36,800,1182.588,1.058820898,0.347819135,,,,,,,,
,,37,800,1182.588,3.374991611,1.108673494,,,,,,,,
,,38,800,1182.588,2.769223886,0.909680816,,,,,,,,
,,39,800,1182.588,1.124997204,0.369557831,,,,,,,,
,,40,800,1182.588,1.28571109,0.422351807,,,,,,,,
,,41,800,1182.588,1.124997204,0.369557831,,,,,,,,
,,42,800,1182.588,2.117641795,0.695638271,,,,,,,,
,,43,800,1182.588,8.526294597,2.800859354,,,,,,,,
,,44,800,1182.588,1.894732133,0.62241319,,,,,,,,
,,45,800,1182.588,17.05258919,5.601718709,,,,,,,,
,,46,800,1182.588,1.124997204,0.369557831,,,,,,,,
,,47,800,1182.588,2.117641795,0.695638271,,,,,,,,
,,48,800,1182.588,0.999997515,0.32849585,,,,,,,,
,,49,800,1182.588,12.8571109,4.223518074,,,,,,,,
,,50,800,1182.588,0.947366066,0.311206595,,,,,,,,
,,51,800,1182.588,0.999997515,0.32849585,,,,,,,,
,,52,800,1182.588,3.176462693,1.043457406,,,,,,,,
,,53,800,1182.588,0.999997515,0.32849585,,,,,,,,
,,54,800,1182.588,1.894732133,0.62241319,,,,,,,,
,,55,800,1182.588,0.947366066,0.311206595,,,,,,,,
,,56,800,1182.588,1.058820898,0.347819135,,,,,,,,
,,57,800,1182.588,1.028568872,0.337881446,,,,,,,,
,,58,800,1182.588,8.470567182,2.782553084,,,,,,,,
,,59,800,1182.588,1.124997204,0.369557831,,,,,,,,
,,60,800,1182.588,1.161287436,0.381479052,,,,,,,,
,,61,800,1182.588,16.87495806,5.543367472,,,,,,,,
,,62,800,1182.588,1.090906379,0.358359109,,,,,,,,
,,63,800,1182.588,1.058820898,0.347819135,,,,,,,,
,,64,800,1182.588,2.057137744,0.675762892,,,,,,,,
,,65,800,1182.588,3.176462693,1.043457406,,,,,,,,
,,66,800,1182.588,16.87495806,5.543367472,,,,,,,,
,,67,800,1182.588,1.161287436,0.381479052,,,,,,,,
,,68,800,1182.588,2.399994035,0.78839004,,,,,,,,
,,69,800,1182.588,1.28571109,0.422351807,,,,,,,,
,,70,800,1182.588,5.538447773,1.819361632,,,,,,,,
,,71,800,1182.588,1.439996421,0.473034024,,,,,,,,
,,72,800,1182.588,3.272719138,1.075077328,,,,,,,,
,,73,800,1182.588,1.714281453,0.563135743,,,,,,,,
,,74,800,1182.588,1.799995526,0.59129253,,,,,,,,
,,75,800,1182.588,5.684196398,1.86723957,,,,,,,,
,,76,800,1182.588,1.799995526,0.59129253,,,,,,,,
,,77,800,1182.588,1.636359569,0.537538664,,,,,,,,
,,78,800,1182.588,1.565213501,0.514167418,,,,,,,,
,,79,800,1182.588,1.499996272,0.492743775,,,,,,,,
,,80,800,1182.588,15.65213501,5.141674177,,,,,,,,
